timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2022-06-27T00:00:00.000Z,2022-07-03T23:59:59.999Z,2022-06-27T09:01:00.000Z,2022-06-30T20:55:00.000Z,2781,21028.23823,21478.08936,18729.65623,19297.07608,157426002965,368272636368,2022-07-03T23:59:59.999Z
2022-06-20T00:00:00.000Z,2022-06-26T23:59:59.999Z,2022-06-26T12:17:00.000Z,2022-06-20T01:52:00.000Z,2781,20553.37025,21783.72477,19689.16951,21027.29531,175909056122,401157940864,2022-06-26T23:59:59.999Z
2022-06-13T00:00:00.000Z,2022-06-19T23:59:59.999Z,2022-06-13T00:37:00.000Z,2022-06-18T20:56:00.000Z,2781,26737.57766,26795.58982,17708.62371,20553.27182,309685915250,391988917194,2022-06-19T23:59:59.999Z
2022-06-06T00:00:00.000Z,2022-06-12T23:59:59.999Z,2022-06-06T14:38:00.000Z,2022-06-12T23:59:00.000Z,2781,29910.28372,31693.29011,26762.64904,26762.64904,215929645934,510252464821,2022-06-12T23:59:59.999Z
2022-05-30T00:00:00.000Z,2022-06-05T23:59:59.999Z,2022-05-31T16:46:00.000Z,2022-05-30T00:58:00.000Z,2781,29443.36571,32249.86393,29303.57163,29906.66175,203063587161,569996838237,2022-06-05T23:59:59.999Z
2022-05-23T00:00:00.000Z,2022-05-29T23:59:59.999Z,2022-05-23T07:35:00.000Z,2022-05-26T13:31:00.000Z,2781,30309.39648,30590.58648,28261.90571,29445.95762,196327562571,561034743433,2022-05-29T23:59:59.999Z
2022-05-16T00:00:00.000Z,2022-05-22T23:59:59.999Z,2022-05-16T00:01:00.000Z,2022-05-19T02:14:00.000Z,2781,31304.37414,31305.3426,28708.95504,30323.7219,196429842103,577568895836,2022-05-22T23:59:59.999Z
2022-05-09T00:00:00.000Z,2022-05-15T23:59:59.999Z,2022-05-09T01:22:00.000Z,2022-05-12T07:19:00.000Z,2781,34060.01548,34222.07332,26350.49017,31305.11257,357800928091,596074575228,2022-05-15T23:59:59.999Z
2022-05-02T00:00:00.000Z,2022-05-08T23:59:59.999Z,2022-05-04T19:19:00.000Z,2022-05-08T17:40:00.000Z,2781,38472.18715,39902.95021,33878.96457,34059.26425,239044762283,648302121215,2022-05-08T23:59:59.999Z
2022-04-25T00:00:00.000Z,2022-05-01T23:59:59.999Z,2022-04-26T08:25:00.000Z,2022-05-01T01:38:00.000Z,2781,39472.60737,40713.88957,37585.78737,38469.0939,216681007567,731986764312,2022-05-01T23:59:59.999Z
2022-04-18T00:00:00.000Z,2022-04-24T23:59:59.999Z,2022-04-21T13:38:00.000Z,2022-04-18T05:07:00.000Z,2781,39721.20292,42893.5802,38696.19152,39469.29356,184314843517,750755023764,2022-04-24T23:59:59.999Z
2022-04-11T00:00:00.000Z,2022-04-17T23:59:59.999Z,2022-04-11T01:28:00.000Z,2022-04-11T22:13:00.000Z,2781,42201.03823,42424.59104,39373.05833,39716.95423,174652159709,755201997823,2022-04-17T23:59:59.999Z
2022-04-04T00:00:00.000Z,2022-04-10T23:59:59.999Z,2022-04-05T12:38:00.000Z,2022-04-10T22:53:00.000Z,2781,46445.27162,47106.13974,42021.2068,42207.67096,188557001877,802293412897,2022-04-10T23:59:59.999Z
2022-03-28T00:00:00.000Z,2022-04-03T23:59:59.999Z,2022-03-28T19:36:00.000Z,2022-04-01T02:58:00.000Z,2781,46821.85025,48086.83675,44403.14101,46453.56708,223334181932,882703992271,2022-04-03T23:59:59.999Z
2022-03-21T00:00:00.000Z,2022-03-27T23:59:59.999Z,2022-03-27T23:56:00.000Z,2022-03-21T02:41:00.000Z,2781,41246.13285,46827.54619,40668.0417,46820.49346,188591889758,889385706663,2022-03-27T23:59:59.999Z
2022-03-14T00:00:00.000Z,2022-03-20T23:59:59.999Z,2022-03-19T21:41:00.000Z,2022-03-14T00:16:00.000Z,2781,37846.31644,42316.55446,37680.73447,41247.82345,184097042034,783260570384,2022-03-20T23:59:59.999Z
2022-03-07T00:00:00.000Z,2022-03-13T23:59:59.999Z,2022-03-09T16:03:00.000Z,2022-03-07T20:05:00.000Z,2781,38429.30278,42465.67291,37260.20171,37849.6628,175966999156,718481905386,2022-03-13T23:59:59.999Z
2022-02-28T00:00:00.000Z,2022-03-06T23:59:59.999Z,2022-03-02T15:04:00.000Z,2022-02-28T00:59:00.000Z,2781,37706.00127,45077.57695,37518.2146,38419.98338,187557375750,729062407067,2022-03-06T23:59:59.999Z
2022-02-21T00:00:00.000Z,2022-02-27T23:59:59.999Z,2022-02-26T00:44:00.000Z,2022-02-24T05:47:00.000Z,2781,38423.20987,40005.34873,34459.21773,37709.78375,190469710083,715351995828,2022-02-27T23:59:59.999Z
2022-02-14T00:00:00.000Z,2022-02-20T23:59:59.999Z,2022-02-15T23:49:00.000Z,2022-02-20T14:23:00.000Z,2781,42157.39915,44667.21698,38112.81394,38431.37812,144975794551,728812385562,2022-02-20T23:59:59.999Z
2022-02-07T00:00:00.000Z,2022-02-13T23:59:59.999Z,2022-02-10T17:19:00.000Z,2022-02-07T00:50:00.000Z,2781,42406.78133,45661.17314,41748.15531,42197.51534,176958095731,799950408997,2022-02-13T23:59:59.999Z
